best score,best length,iteration,time,try
96334.35909,7570,9,14.562,0
96542.14609,7570,46,75.051,1
96542.14609,7570,46,74.899,2
96768.05566,7570,48,78.756,3
96542.14609,7570,24,38.676,4
96502.3327,7570,14,22.127,5
96542.14609,7570,38,62.154,6
96542.14609,7570,14,22.265,7
96432.76011,7570,7,10.749,8
95679.4807,7570,53,86.02,9
96558.03327,7570,10,15.602,10
96542.14609,7570,31,50.798,11
96985.42165,7570,33,53.447,12
96542.14609,7570,34,55.408,13
96542.14609,7570,56,91.274,14
96591.99243,7570,34,55.055,15
96542.14609,7570,26,41.665,16
96619.46484,7570,1,1.562,17
96542.14609,7570,23,37.002,18
96325.39643,7570,38,61.425,19
96940.34065,7570,47,76.225,20
96145.17972,7570,16,25.332,21
97014.4677,7570,49,80.283,22
96985.42165,7570,1,1.51,23
96862.45079,7570,19,30.587,24
96428.66448,7570,11,17.364,25
96502.3327,7570,55,89.849,26
96519.90917,7570,23,36.316,27
96542.14609,7570,39,64.118,28
97033.4999,7570,57,93.298,29
