"best score","best length","iteration","time","try"
"34386.539073726","7570","22","20.176","0"
"34651.89273979928","7570","93","47.166","1"
"34719.5872148512","7570","113","57.279","2"
"34566.459314890366","7570","42","21.35","3"
"34566.459314890366","7570","86","43.934","4"
"34677.63501819392","7570","167","84.964","5"
"34804.63923361075","7570","35","17.824","6"
"34592.01079409549","7570","178","90.645","7"
"34466.794725998705","7570","67","33.935","8"
"34804.63923361075","7570","24","12.159","9"
"34618.4514556581","7570","51","25.845","10"
"34907.9630274487","7570","83","42.184","11"
"34680.423925223586","7570","33","16.747","12"
"34649.280961595985","7570","75","38.014","13"
"34810.64853217596","7570","27","13.67","14"
"34660.02179055562","7570","145","73.392","15"
"34564.962796105276","7570","103","52.321","16"
"34793.65533654668","7570","155","78.43","17"
"34551.65369022486","7570","176","89.31","18"
"34579.09501235561","7570","71","35.942","19"
"34514.753807190355","7570","150","76.148","20"
"34734.329655459485","7570","137","69.658","21"
"34804.63923361075","7570","23","11.654","22"
"34566.459314890366","7570","77","39.15","23"
"34566.459314890366","7570","64","32.52","24"
"34767.082022379174","7570","140","71.31","25"
"34804.63923361075","7570","27","13.671","26"
"34696.426810379504","7570","57","28.946","27"
"34631.48757765279","7570","19","9.6","28"
"34386.539073726","7570","25","13.293","29"
