"best score","best length","iteration","time","try"
"21202.53546532942","7570","61","24.948","0"
"21202.53546532942","7570","91","37.54","1"
"21202.53546532942","7570","14","5.42","2"
"21202.53546532942","7570","59","22.991","3"
"21202.53546532942","7570","104","40.003","4"
"21202.53546532942","7570","60","23.195","5"
"21202.53546532942","7570","157","61.338","6"
"21202.53546532942","7570","11","4.267","7"
"21202.53546532942","7570","44","17.233","8"
"21202.53546532942","7570","54","20.964","9"
"21202.53546532942","7570","24","9.326","10"
"21202.53546532942","7570","16","6.242","11"
"21202.53546532942","7570","97","38.433","12"
"21202.53546532942","7570","27","10.379","13"
"21202.53546532942","7570","34","13.102","14"
"21202.53546532942","7570","92","35.948","15"
"21202.53546532942","7570","44","17.097","16"
"21202.53546532942","7570","38","14.577","17"
"21202.53546532942","7570","32","12.392","18"
"21202.53546532942","7570","26","10.595","19"
"21202.53546532942","7570","45","17.468","20"
"21202.53546532942","7570","17","6.55","21"
"21202.53546532942","7570","40","15.394","22"
"21202.53546532942","7570","23","8.905","23"
"21202.53546532942","7570","96","38.377","24"
"21202.53546532942","7570","30","11.995","25"
"21202.53546532942","7570","24","9.56","26"
"21202.53546532942","7570","66","25.821","27"
"21202.53546532942","7570","45","17.317","28"
"21202.53546532942","7570","160","61.711","29"
