"best score","best length","iteration","time","try"
"12866.789855887291","7570","256","92.455","0"
"12882.672405646055","7570","256","77.126","1"
"12882.672405646055","7570","195","58.953","2"
"12882.672405646055","7570","71","21.274","3"
"12882.672405646055","7570","256","76.678","4"
"12869.786423059435","7570","79","23.619","5"
"12866.789855887291","7570","70","20.893","6"
"12882.672405646055","7570","289","86.445","7"
"12869.786423059435","7570","43","12.802","8"
"12882.672405646055","7570","56","16.755","9"
"12869.786423059435","7570","121","36.32","10"
"12869.786423059435","7570","173","51.934","11"
"12869.786423059435","7570","24","7.141","12"
"12882.672405646055","7570","48","14.38","13"
"12882.672405646055","7570","287","86.084","14"
"12882.672405646055","7570","140","42.232","15"
"12869.786423059435","7570","99","29.725","16"
"12869.786423059435","7570","33","9.855","17"
"12882.672405646055","7570","292","87.569","18"
"12882.672405646055","7570","92","27.566","19"
"12882.672405646055","7570","38","11.348","20"
"12869.786423059435","7570","56","16.937","21"
"12869.786423059435","7570","163","48.819","22"
"12882.672405646055","7570","94","28.205","23"
"12869.786423059435","7570","169","50.801","24"
"12869.786423059435","7570","160","48.092","25"
"13050.837439875046","7688","329","99.107","26"
"12882.672405646055","7570","10","2.952","27"
"12869.786423059435","7570","59","17.708","28"
"12882.672405646055","7570","315","95.237","29"
