best score,best length,iteration,time,try
18752.46408,6849,8,94.273,0
20383.16412,6636,5,63.486,1
19903.46946,6640,11,74.212,2
20411.79468,6622,15,101.734,3
20002.73098,6644,8,53.592,4
19213.34251,6720,3,20.29,5
19844.79828,6631,13,86.331,6
19611.63271,6692,15,98.241,7
19836.85198,6691,14,93.564,8
19533.98781,6731,4,26.631,9
19240.52389,6706,16,105.972,10
19704.95703,6631,11,73.286,11
19124.38454,6697,11,73.574,12
20300.51057,6622,13,87.489,13
19510.22144,6637,13,87.542,14
19146.98493,6720,15,99.717,15
19014.86458,6717,16,105.9,16
19730.75858,6645,14,92.691,17
19364.30662,6609,14,94.014,18
20004.03537,6622,13,87.291,19
20382.26559,6621,1,6.51,20
20042.56526,6671,14,93.825,21
20084.94558,6683,11,73.287,22
18858.00546,6682,13,86.167,23
20227.20026,6644,13,86.232,24
20383.16412,6636,14,93.09,25
20055.5609,6686,12,80.774,26
20723.38118,6622,14,94.085,27
19726.21286,6609,9,59.939,28
20009.87647,6624,15,99.464,29
