"best score","best length","iteration","time","try"
"45755.32342983094","6611","5","101.538","0"
"43576.88795031977","6671","2","40.711","1"
"43860.08333507713","6701","9","108.702","2"
"44230.33960999486","6731","9","107.646","3"
"44282.48693766634","6671","2","23.852","4"
"43494.59553643019","6639","8","97.158","5"
"45221.987497771275","6667","9","108.596","6"
"46067.90039744406","6646","9","109.32","7"
"44917.54116706981","6723","6","72.114","8"
"45474.473744034854","6659","2","23.703","9"
"43660.735894187455","6669","1","12.064","10"
"44128.15171849934","6773","9","107.848","11"
"43958.06455168911","6679","1","11.411","12"
"44957.51776566359","6663","9","108.179","13"
"44866.39368375501","6720","7","83.792","14"
"44760.08209434594","6622","4","47.403","15"
"44952.98249618962","6762","8","95.746","16"
"44950.25424496281","6689","5","59.814","17"
"43663.0138520435","6746","7","83.673","18"
"45853.406880922426","6647","7","83.957","19"
"44971.230962158894","6690","5","59.673","20"
"43709.783070015445","6722","1","11.912","21"
"43921.86424626321","6643","9","107.856","22"
"44196.483305041314","6733","2","23.69","23"
"47442.80975528434","6667","9","108.984","24"
"44917.09247817418","6654","8","95.588","25"
"43292.22607399781","6722","9","108.764","26"
"43973.354538307525","6696","5","59.861","27"
"46554.12734947313","6671","9","108.275","28"
"42805.6350741997","6694","9","108.822","29"
