"best score","best length","iteration","time","try"
"19739.92072525379","461","7","3.663","0"
"21613.313391865413","462","58","57.566","1"
"21613.313391865413","462","54","44.597","2"
"19955.32251302348","465","98","98.684","3"
"21102.8369524952","460","50","49.911","4"
"20202.374521208083","467","77","78.028","5"
"21177.396323004177","468","55","54.692","6"
"22175.044979314116","459","88","80.492","7"
"20480.286037174083","460","111","43.72","8"
"22168.587570343283","460","172","67.288","9"
"22128.832164657142","460","245","94.997","10"
"22128.056104394265","459","27","10.297","11"
"22187.482833753937","459","188","73.564","12"
"22152.220015380415","459","234","90.827","13"
"21391.27726702123","467","245","95.707","14"
"20382.44421037141","461","187","73.571","15"
"22228.906837837734","459","27","10.384","16"
"22228.906837837734","459","119","46.413","17"
"22128.056104394265","459","191","74.592","18"
"22228.906837837734","459","140","54.174","19"
"22228.906837837734","459","152","59.22","20"
"22022.829664900055","460","52","19.956","21"
"22163.597104168613","460","70","27.377","22"
"22128.056104394265","459","87","33.764","23"
"21793.060694734857","460","19","7.208","24"
"21613.313391865413","462","138","54.097","25"
"21659.238021629724","463","226","88.794","26"
"22196.860268889985","459","53","20.562","27"
"21798.051160909534","460","71","27.505","28"
"22228.906837837734","459","34","14.078","29"
