best score,best length,iteration,time,try
7237.032868,585,90,49.621,0
7295.800999,587,85,34.636,1
7270.164305,590,230,94.262,2
7319.560899,589,200,82.608,3
7298.030246,589,198,82.11,4
7261.948768,589,87,35.504,5
7309.46572,588,193,78.61,6
7335.39765,587,78,31.698,7
7309.46572,588,118,48.397,8
7237.032868,585,46,18.718,9
7309.46572,588,116,47.248,10
7264.664939,587,174,71.139,11
7335.39765,587,50,20.305,12
7335.39765,587,49,19.911,13
7124.359608,593,72,29.361,14
7237.032868,585,93,38.043,15
7335.39765,587,244,99.564,16
7269.77294,590,181,73.987,17
7145.815664,588,94,38.351,18
7266.240261,587,183,74.645,19
7237.032868,585,173,70.652,20
7400.042535,587,246,100.394,21
7320.554691,588,178,72.65,22
7329.38983,588,231,94.633,23
7353.438826,587,175,71.397,24
7281.766772,588,218,89.355,25
7353.438826,587,201,82.841,26
7145.815664,588,77,31.446,27
7335.39765,587,40,16.302,28
7237.032868,585,41,16.763,29
