"best score","best length","iteration","time","try"
"16942.271201632415","586","33","40.461","0"
"16615.083105243575","589","34","41.83","1"
"15521.380590953944","601","12","14.397","2"
"16532.40258545563","588","23","28.188","3"
"16315.300324492477","587","24","29.118","4"
"16398.215240427817","586","35","43.56","5"
"16626.96694787276","585","55","68.306","6"
"16840.279333753824","594","57","71.225","7"
"16490.5305605479","586","52","64.39","8"
"16486.892261149595","597","18","22.26","9"
"16618.831974745786","592","42","51.741","10"
"16879.919939463718","591","65","80.0","11"
"16834.892296320926","597","64","79.13","12"
"16673.689684569246","585","33","41.457","13"
"16641.478046878954","587","25","30.563","14"
"16442.068409972482","586","70","86.776","15"
"16641.91285323762","587","30","36.865","16"
"16397.09140974839","591","42","51.906","17"
"16505.625481180017","585","80","98.59","18"
"16257.36785425034","587","37","45.413","19"
"16033.65419424844","599","37","48.806","20"
"15911.854767969824","586","19","24.422","21"
"16491.20213212591","587","75","92.496","22"
"16901.19383473084","591","70","86.211","23"
"16222.039134108629","587","79","97.631","24"
"16399.60112689968","589","51","62.708","25"
"16542.832905273062","589","26","31.852","26"
"16588.94596868143","597","70","86.406","27"
"16505.625481180017","585","33","40.785","28"
"16780.3611475594","592","52","64.052","29"
