"best score","best length","iteration","time","try"
"9785.809493450404","596","25","45.374","0"
"11123.985675591037","590","54","60.231","1"
"10990.752975283067","588","76","84.77","2"
"11183.54470771853","590","47","51.562","3"
"10879.365692896732","588","84","93.274","4"
"10270.145117352251","591","56","62.031","5"
"10409.456764416362","586","60","66.484","6"
"10356.265873378346","596","51","55.994","7"
"10197.730219706937","588","55","60.847","8"
"10689.848225946858","590","30","32.312","9"
"10942.122369717996","588","34","36.898","10"
"9703.530131178457","586","69","76.573","11"
"10049.664676211585","586","71","79.077","12"
"11260.444723054854","588","53","58.539","13"
"10508.35823252191","588","40","43.637","14"
"11306.521286587791","589","64","70.554","15"
"10225.719484964058","587","85","94.666","16"
"10466.406151052164","586","46","50.65","17"
"10329.537374787222","585","81","90.461","18"
"10920.571307056438","587","31","33.756","19"
"11051.630274487827","587","63","69.479","20"
"10786.636881537714","594","27","29.092","21"
"11072.171635824248","590","45","49.56","22"
"10437.71409078587","586","49","54.747","23"
"10307.559209998275","593","34","36.945","24"
"11270.134883766106","588","34","36.783","25"
"10919.341825157702","588","59","65.21","26"
"10901.313138890466","590","91","100.99","27"
"10061.838378784996","585","84","93.963","28"
"11035.523760646669","588","82","90.965","29"
