"best score","best length","iteration","time","try"
"73815.7289904017","21439","8","24.009","0"
"76213.1906683505","21449","32","97.515","1"
"75130.84654466083","21441","20","60.585","2"
"74368.82223815951","21345","23","69.731","3"
"72870.59525134493","21441","26","80.408","4"
"72822.63486146947","21511","16","48.365","5"
"74660.6186042061","21353","30","91.333","6"
"75908.80793475753","21441","29","87.788","7"
"73635.74051719441","21433","31","97.147","8"
"72736.3054497239","21345","13","40.967","9"
"73441.53403823645","21536","29","87.433","10"
"73551.16597732174","21345","22","66.767","11"
"74460.89324652034","21365","10","29.772","12"
"74601.92954383968","21511","18","54.486","13"
"73679.31245807747","21441","32","96.781","14"
"76385.12047995924","21365","29","87.676","15"
"76182.9448975122","21441","23","69.85","16"
"75881.21351671091","21542","23","69.543","17"
"73645.55284224614","21441","24","72.469","18"
"73924.04072576406","21439","22","66.517","19"
"73328.6999047614","21449","3","8.58","20"
"72194.05723689575","21550","13","39.292","21"
"74057.19530351504","21439","31","93.742","22"
"76912.08226334874","21353","33","100.231","23"
"76049.96366820694","21449","30","91.0","24"
"72519.4077110998","21550","25","77.791","25"
"75362.65499528268","21345","26","81.096","26"
"76411.67843392567","21365","10","31.121","27"
"74804.97419899522","21439","18","55.046","28"
"74162.38809882049","21441","15","47.066","29"
