"best score","best length","iteration","time","try"
"33544.544480010576","21365","3","14.607","0"
"33042.362817890855","21365","6","26.19","1"
"33592.15339897034","21353","36","98.25","2"
"33291.46910729754","21924","16","42.9","3"
"33408.63196263793","21441","22","60.797","4"
"33082.07295893701","21373","7","18.498","5"
"33820.24903377462","21722","8","21.663","6"
"33528.68270438265","21345","38","102.186","7"
"33722.09582496933","21730","29","78.297","8"
"33479.17623997344","21828","16","42.588","9"
"33613.46027174791","21353","25","67.098","10"
"33066.01958996399","21532","32","85.678","11"
"33743.425459943945","21722","29","78.318","12"
"33385.99818858023","21353","11","29.187","13"
"32833.13023480721","21345","9","23.719","14"
"33681.616888365075","21373","15","40.319","15"
"33298.463845595805","21433","25","66.76","16"
"33705.73334135148","21365","18","47.746","17"
"33528.68270438265","21345","36","100.674","18"
"33240.601104195244","21441","21","60.796","19"
"33417.69759785715","21441","19","54.604","20"
"33449.67753663802","21803","30","82.153","21"
"33298.463845595805","21433","19","50.519","22"
"33945.79183363775","21634","15","40.017","23"
"33172.818483662624","21550","12","31.765","24"
"32991.875148680985","21436","25","66.973","25"
"33699.0967619564","21365","18","48.423","26"
"33066.52789647666","21563","16","43.148","27"
"33613.599906562355","21365","15","39.872","28"
"33311.94271308793","21345","36","97.334","29"
