"best score","best length","iteration","time","try"
"22415.23679317425","21345","15","58.722","0"
"22263.673026844946","21542","16","54.937","1"
"22481.58643950019","21634","26","59.558","2"
"22354.88961154494","21449","38","87.324","3"
"21990.566398064424","21447","39","89.09","4"
"22352.419962888198","21524","12","26.853","5"
"22479.396046756476","21441","26","59.607","6"
"21970.462118069736","21608","28","64.83","7"
"22259.111497163634","21449","21","48.26","8"
"22151.632901567034","21365","4","8.586","9"
"22407.156317516594","21441","42","97.453","10"
"22332.67401332962","21800","42","96.23","11"
"22197.90106168363","21444","16","36.177","12"
"22044.8987869766","22180","34","77.199","13"
"22556.958472493207","21345","39","89.54","14"
"21927.449869002856","21441","37","84.169","15"
"22394.859827091714","21441","32","72.769","16"
"22454.385337396103","21441","28","64.191","17"
"21537.26043728737","21345","20","45.376","18"
"22059.522040001248","21511","35","80.441","19"
"22481.024625628503","21441","19","43.522","20"
"22556.958472493207","21345","43","98.808","21"
"22263.673026844946","21542","9","19.939","22"
"22269.191497163636","21441","30","68.367","23"
"22426.110064126806","21353","29","66.515","24"
"22555.104772110288","21365","41","93.726","25"
"22394.859827091714","21441","33","75.305","26"
"22226.509377609073","21635","26","58.874","27"
"22100.48043812428","21353","10","21.964","28"
"21950.504803481017","21550","28","63.983","29"
