"best score","best length","iteration","time","try"
"21633.124679623612","59099","4","16.545","0"
"21773.538335135967","59099","16","53.727","1"
"21203.87811727858","59861","10","33.114","2"
"21732.776971634827","59057","16","52.111","3"
"21732.776971634827","59057","8","26.197","4"
"21773.538335135967","59099","4","13.311","5"
"21773.538335135967","59099","4","13.174","6"
"21773.538335135967","59099","21","68.724","7"
"21348.905972291188","59953","16","52.417","8"
"20880.850713049207","60073","22","71.886","9"
"21631.268732846405","59099","2","6.55","10"
"21732.776971634827","59057","14","45.37","11"
"21724.27775951115","59057","17","55.517","12"
"21035.04189171758","60226","20","65.885","13"
"21765.03912301229","59099","13","42.421","14"
"21765.03912301229","59099","25","81.661","15"
"20785.782308890408","60345","3","9.832","16"
"21724.27775951115","59057","19","61.51","17"
"21714.471247584457","59208","26","85.384","18"
"21724.27775951115","59057","24","77.903","19"
"21773.538335135967","59099","24","77.087","20"
"21170.81338360316","59945","18","59.096","21"
"21732.776971634827","59057","9","29.486","22"
"21624.97926897774","59270","18","58.571","23"
"21765.03912301229","59099","16","52.186","24"
"21732.776971634827","59057","16","51.856","25"
"21690.391356835753","59112","13","41.664","26"
"21766.289560022607","59099","30","97.468","27"
"21199.70494376701","59861","5","16.721","28"
"20967.319887662175","60454","23","76.136","29"
