"best score","best length","iteration","time","try"
"119966.60035079945","59057","8","78.765","0"
"118986.56413196109","59099","5","43.934","1"
"118625.01636861375","59057","1","5.458","2"
"107440.2163752015","60373","1","5.462","3"
"111626.14286543496","61366","3","17.069","4"
"119514.59768773566","59057","1","5.554","5"
"119973.3510943586","59057","7","42.504","6"
"114116.34411451468","60073","5","30.549","7"
"115566.11693931493","60111","2","11.207","8"
"117238.4083239995","60329","5","29.666","9"
"120423.46294993386","59861","4","23.24","10"
"120066.20345294283","59270","15","91.295","11"
"116801.14534749725","60329","12","73.098","12"
"119443.73512402005","59099","4","23.561","13"
"118935.94142519822","59057","2","12.055","14"
"118559.3164548201","59099","5","29.074","15"
"117926.06082514903","59270","3","17.145","16"
"120134.69347909189","59112","9","53.789","17"
"118938.69898494918","59057","5","34.369","18"
"109630.67799436135","60061","7","41.943","19"
"120664.94387322394","59792","17","105.128","20"
"120492.38289583215","59099","16","98.832","21"
"114296.96986275568","59057","9","53.811","22"
"119075.25181471344","59057","3","17.177","23"
"118900.40234984184","59270","13","79.111","24"
"121451.7013724983","59873","16","98.025","25"
"119607.67470358513","59099","15","91.495","26"
"114727.26875569229","60439","2","11.04","27"
"118052.95590004977","59270","1","5.416","28"
"117601.27248424839","59873","4","22.749","29"
