"best score","best length","iteration","time","try"
"33382.91700482515","59099","14","84.456","0"
"33374.82155833271","59099","10","63.945","1"
"31732.25259531923","59057","9","57.833","2"
"33149.80350988234","59099","11","72.661","3"
"30375.65295884294","60721","2","11.943","4"
"33248.40162619038","59270","9","57.431","5"
"33374.82155833271","59099","9","57.361","6"
"33380.03970728306","59099","12","76.836","7"
"31575.100748079683","59632","16","102.467","8"
"26923.841271137055","59270","1","562.292","9"
"34605.752464624566","59057","12","62.655","10"
"32385.433938595597","59270","4","25.633","11"
"31190.467205602727","59057","13","104.907","12"
"32062.751545886764","59790","7","55.402","13"
"34092.89050074138","59270","10","73.278","14"
"32457.940869594357","61972","9","58.785","15"
"34943.07676842953","60073","16","105.439","16"
"33158.803023321656","60073","5","32.091","17"
"34316.2414496626","59411","16","106.138","18"
"33160.55294098707","59270","16","105.83","19"
"34118.696146160866","59099","14","92.173","20"
"34222.09809752682","59099","10","65.442","21"
"33420.98631008058","59057","14","93.53","22"
"33374.82155833271","59099","16","105.342","23"
"33275.93920433419","59270","14","92.562","24"
"33556.693344861036","59112","9","58.161","25"
"29261.11388311765","59861","2","12.459","26"
"34222.09809752682","59099","10","54.885","27"
"30643.4807979272","60611","9","89.923","28"
"33635.564937215226","60061","11","91.355","29"
