"best score","best length","iteration","time","try"
"113165.51293282077","2546","3","130.22","0"
"114813.14779035415","2531","2","55.366","1"
"112089.7831541808","2533","2","60.861","2"
"116260.1247127502","2513","4","113.809","3"
"112594.50465837697","2504","1","28.897","4"
"112580.01928966347","2505","4","108.825","5"
"106438.37590168213","2515","1","27.609","6"
"110243.43192263343","2511","2","55.621","7"
"114353.09131417563","2516","1","30.778","8"
"107154.56351278012","2502","4","108.777","9"
"120270.65822743141","2485","2","53.128","10"
"107619.34918761399","2543","4","107.357","11"
"110609.3311147489","2512","1","26.831","12"
"114887.74872294941","2472","4","108.442","13"
"113938.12234581256","2500","4","111.896","14"
"110457.36949006096","2544","1","38.009","15"
"112533.56798737438","2516","4","118.188","16"
"113455.91107955144","2513","4","111.252","17"
"112350.17758673133","2521","3","80.388","18"
"114631.9438074957","2544","1","27.116","19"
"108221.94038374431","2478","4","107.079","20"
"115323.70005559374","2503","4","112.352","21"
"119386.04028638318","2509","2","54.986","22"
"111577.8665622457","2525","2","54.952","23"
"114315.63933068898","2487","1","26.137","24"
"109995.6888666189","2515","2","55.809","25"
"112441.61463405308","2512","1","27.622","26"
"113291.82516576396","2531","1","26.106","27"
"112074.54936209391","2495","3","81.351","28"
"116917.33856286004","2468","4","108.536","29"
