best score,best length,iteration,time,try
63208.80422,2513,1,28.967,0
65039.80321,2485,4,101.232,1
63681.5372,2456,1,25.869,2
63608.4188,2481,3,76.638,3
61972.56015,2543,4,102.287,4
64654.98662,2493,4,105.614,5
64641.45338,2500,3,76.677,6
63283.06354,2523,3,77.149,7
64094.45546,2524,1,25.899,8
61828.29446,2507,4,102.243,9
63682.52912,2498,3,77.13,10
62687.48106,2521,2,49.503,11
63658.97016,2496,3,75.809,12
65504.7445,2463,4,100.869,13
62892.36591,2494,3,77.246,14
63193.19686,2472,2,51.5,15
64719.23027,2488,4,102.905,16
62749.54436,2461,4,106.073,17
63986.63164,2479,4,103.488,18
63464.71572,2497,3,77.643,19
62199.71863,2504,1,26.027,20
66208.98917,2488,1,25.746,21
63644.12495,2520,3,76.41,22
62993.10041,2513,3,76.633,23
63928.39328,2484,4,103.152,24
65406.83603,2521,2,51.76,25
62851.9155,2522,2,52.426,26
61452.97427,2533,1,25.078,27
64207.84191,2479,2,50.78,28
61653.20602,2510,2,53.323,29
