"best score","best length","iteration","time","try"
"39159.65649609425","2527","1","23.416","0"
"38875.04388615425","2543","4","88.038","1"
"41904.28634816632","2484","2","43.244","2"
"39954.39104690726","2522","3","66.8","3"
"41343.657095938455","2496","1","21.728","4"
"40123.52377349147","2505","1","21.803","5"
"39706.1825500117","2510","5","112.272","6"
"40022.62484358632","2493","1","21.566","7"
"40004.7862173942","2516","2","42.864","8"
"41087.27505371196","2478","5","110.201","9"
"40474.993834062596","2518","3","65.395","10"
"38537.23914617032","2510","1","21.554","11"
"40519.22953165477","2527","4","86.687","12"
"40210.461727272865","2486","1","21.971","13"
"41834.40481996053","2468","5","109.467","14"
"42466.79782754497","2487","4","87.54","15"
"39622.04700025363","2492","1","22.168","16"
"42481.955651371216","2515","2","43.091","17"
"39326.29388946199","2492","5","114.081","18"
"41242.8077530436","2488","4","88.291","19"
"40726.00910991352","2514","2","41.99","20"
"40169.792096840625","2509","5","111.31","21"
"39698.41494458655","2491","5","112.442","22"
"40002.98055940241","2508","4","86.241","23"
"39556.57990069981","2500","5","110.881","24"
"40493.730789682915","2509","1","20.898","25"
"40639.39310028765","2483","5","109.355","26"
"39324.25129345141","2521","5","110.118","27"
"39810.34916032574","2486","4","87.097","28"
"40783.31909333973","2489","2","42.805","29"
